,Name,Certificates
15745,Footlight Fever (1941),:Approved(PCA #6990)
15746,Footlight Parade (1933),:G(1970)
15747,Footlight Parade (1933),:Approved(PCA #2649-R) (1936)
15748,Footloose (1984),:PG(certificate #27174) (re-rating on appeal)
15749,Footloose (2011),:PG-13(certificate #46765)
15750,"Footprints, the Path of Your Life (2016)",:PG(certificate #50713)
15751,Footrot Flats: The Dog's Tale (1986),:PG
15752,Footsteps (2010),:R
15753,Footsteps in the Dark (1941),:Approved(PCA #6780)
15754,Footsteps in the Fog (1955),:Approved(MPAA rating: certificate #17413)
15755,Footsteps in the Night (1957),:Approved
15756,For Alimony Only (1926),:Passed(National Board of Review)
15757,For All It's Worth (1994),:G
15758,For Auld Lang Syne (1939),:Approved
15759,For Better or Worse (1995),:PG-13
15760,For Better or Worse (1995),:PG-13
15761,For Better or Worser (1935),:Approved
15762,For Colored Girls (2010),:R(certificate #46416)
15763,For Greater Glory: The True Story of Cristiada (2012),:R(certificate #47510)
15764,For Heaven's Sake (1926),:Passed(National Board of Review)
15765,For Hire (1998),:R
15766,For Keeps? (1988),:PG-13(certificate #28662)
15767,For Lack of Better (2015),:PG
15768,For Love and Money (1987),:X
15769,For Love of Ivy (1968),:G(certificate #21827)
15770,For Love of Money (1976),:X(self applied)
15771,For Love of the Game (1999),:PG-13(certificate #36985)
15772,For Love or Money (1939),:Approved
15773,For Love or Money (1939),:Passed(National Board of Review)
15774,For Love or Money (1993),:PG(certificate #32290)
15775,For Me and My Gal (1942),:Passed(National Board of Review)
15776,For Me and My Gal (1942),:Approved(PCA #8464)
15777,For No Good Reason (2012),:R
15778,For Once in My Life (2010),:PG
15779,For Pete's Sake (1974),:PG
15780,For Pete's Sake! (1934),:Passed(National Board of Review)
15781,For Pete's Wake! (2007),:R
15782,For Queen & Country (1988),:R
15783,For Real (2003),:PG-13(certificate #39741)
15784,For Richer or Poorer (1997),:PG-13(certificate #35727)
15785,For Robbing the Dead (2011),:PG
15786,For Sale by Owner (2006),:R
15787,For Sale by Owner (2009),:PG-13(certificate #45554)
15788,For Scent-imental Reasons (1949),:Approved(PCA #13024)
15789,For Sentimental Reasons (1947),:Approved
15790,For Sentimental Reasons (1947),:Passed(National Board of Review)
15791,For Services Rendered (1984),:X
15792,For Singles Only (1968),:Approved(Suggested for Mature Audiences)
15793,For Them That Trespass (1949),:Approved
15794,For Those About to Rock: Monsters in Moscow (1992),:R(certificate #32001)
15795,For Those Who Think Young (1964),:Approved(PCA #20629)
15796,For Two Cents (1931),:Passed(National Board of Review)
15797,For Whom the Bell Tolls (1943),:Unrated
15798,For Whom the Bell Tolls (1943),:Passed(Classified and Passed by) (The National Board of Review)
15799,For Whom the Bell Tolls (1943),:Approved(MPAA rating: certificate #7982)
15800,For Whom the Bulls Toil (1953),:Approved(certificate #16293)
15801,For You I Die (1947),:Passed(National Board of Review)
15802,For You I Die (1947),:Approved(PCA #12769)
15803,For Your Consideration (2006),:PG-13
15804,For Your Convenience (1939),:Approved(PCA #2397)
15805,For Your Eyes Only (1981),:PG(Certificate #26343)
15806,For Your Thighs Only (1984),:X
15807,For a Few Lousy Dollars (1995),:R
15808,"For a Good Time, Call... (2012)",:R
15809,For da Love of Money (2002),:R
15810,For lung (2010),:R
15811,For lung (2010),:R(certificate #46908)
15812,For the Bible Tells Me So (2007),:Unrated
15813,For the Birds (2000),:G
15814,For the Boys (1991),:R
15815,For the Cause (2000),:R(certificate #36700)
15816,For the Common Defense! (1942),:Approved(certificate #8205)
15817,For the First Time (1959),:Unrated
15818,For the First Time (1959),:Approved(certificate #19164)
15819,For the Love o' Lil (1930),:Passed(National Board of Review)
15820,For the Love of Benji (1977),:G
15821,For the Love of Fanny (1931),:Passed(National Board of Review)
15822,For the Love of Mary (1948),:Approved
15823,For the Love of Money (2012),:R
15824,For the Love of Pete (1936),:Approved
15825,For the Love of Pete (1936),:Passed(National Board of Review)
15826,For the Love of Pleasure (1979),:X
15827,For the Love of Rusty (1947),:Approved(PCA #12205)
15828,For the Moment (1993),:PG-13
15829,For the Sake of Time (2014),:PG(self applied)
15830,For the Service (1936),:Approved
15831,For the Service (1936),:Passed(National Board of Review)
15832,For the Wages of Sin Is Death (2008),:Unrated
15833,Forbidden (1932),:Approved
15834,Forbidden (1932),:Passed(National Board of Review)
15835,Forbidden (1953),":Approved(PCA #16455, General Audience)"
15836,Forbidden (1984),:PG-13
15837,Forbidden Games (1999),:R
15838,Forbidden Games (1999),:Unrated
15839,Forbidden Ground (2013),:R
15840,Forbidden Highway (2001),:R
15841,Forbidden Island (1959),:Approved
15842,Forbidden Jungle (1950),:Approved
15843,Forbidden Jungle (1950),:Passed(National Board of Review)
15844,Forbidden Letters (1976),:X
15845,Forbidden Love (2014/II),:G(self applied)
15846,Forbidden Passage (1941),:Approved
15847,Forbidden Passage (1941),:Passed(National Board of Review)
15848,Forbidden Planet (1956),:G(1972) (certificate #17605)
15849,Forbidden Planet (1956),:Passed(1956) (National Board of Review)
15850,Forbidden Planet (1956),:Approved(1956) (PCA #17605)
15851,Forbidden Pleasures (1994),:R
15852,Forbidden Sins (1999),:R
15853,Forbidden Sun (1989),:R
15854,Forbidden Territory (1934),:Approved
15855,Forbidden Trail (1932),:Approved(PCA #1163) (re-issue number) (1936)
15856,Forbidden Trails (1941),:Approved
15857,Forbidden Valley (1938),:Approved
15858,Forbidden Valley (1938),:Passed(National Board of Review)
15859,Forbidden Warrior (2005),:PG-13
15860,Forbidden Ways (1976),:X(self applied)
15861,Forbidden World (1982),:R(certificate #26618)
15862,Forbidden Zone (1980),:R(certificate #26772)
15863,Force (2011),:R
15864,Force 10 from Navarone (1978),:PG(MPAA rating: certificate #25070)
15865,Force of Darkness (1985),:R
15866,Force of Execution (2013),:R
15867,Force on Force (1994),:R
15868,Force: Five (1981),:R(certificate #26391)
15869,Forced Alliance (1989),:R
15870,Forced Alliance (2007),:Unrated
15871,Forced Entry (1973),:X(self applied)
15872,Forced Entry (1975),:R
15873,Forced Landing (1935),:Approved
15874,Forced Landing (1935),:Passed(National Board of Review)
15875,Forced Landing (1941),:Unrated
15876,Forced Vengeance (1982),:R(certificate #26640)
15877,Forced to Kill (1994),:R
15878,Forces of Nature (1999),:PG-13(certificate #36559)
15879,Forces spéciales (2011),:R
15880,Foreign Bodies (1994),:R
15881,Foreign Body (1986),:PG-13
15882,Foreign Correspondent (1940),:Approved(PCA #6409)
15883,Foreign Correspondents (1999),:PG-13
15884,Foreign English (2008),:PG-13
15885,Foreign Exchange (2008),:R
15886,Foreign Ghosts (1998),:R
15887,Foreign Intrigue (1956),:Approved
15888,Foreign Student (1994),:R(certificate #32847)
15889,Foreplay (1975),:R
15890,Foreplay (1982),:X
15891,Forest Ridge (2011),:PG(video rating)
15892,Forest Warrior (1996),:PG
15893,Forest of Bliss (1986),:Unrated
15894,Forest of the Damned (2005),:R
15895,Forever (1992),:R
15896,Forever (2006/II),:Unrated
15897,Forever (2015/II),:R
15898,Forever After (1926),:Passed(National Board of Review)
15899,Forever Amber (1947),":Approved(PCA #11495, Adult Audience)"
15900,Forever Dead (2007),:Unrated
15901,Forever Female (1953),:Approved(PCA #16281)
15902,Forever Fever (1998),:PG-13
15903,Forever Lulu (2000),:R
15904,Forever Mine (1999),:R(certificate #36997)
15905,Forever My Girl (2018),:PG(certificate #50737)
15906,Forever No More (2010),:PG-13
15907,Forever Plaid (2008),:G
15908,Forever Strong (2008),:PG-13
15909,Forever Young (1992),:PG(certificate #32090)
15910,Forever Young (2012/I),:PG-13
15911,"Forever Young, Forever Free (1975)",:G
15912,Forever Yours (1945),:Approved
15913,Forever Yours (1945),:Passed
15914,Forever for Now (2004),:Unrated
15915,"Forever, Darling (1956)",:Approved(PCA #17710)
15916,"Forever, Lulu (1987)",:R(certificate #28602)
15917,Forfeit (2007),:R(certificate #44627)
15918,Forged Passport (1939),:Approved
15919,Forged Passport (1939),:Passed(National Board of Review)
15920,Forget (2009),:PG-13
15921,Forget About It (2006),:PG-13
15922,Forget About Love (2008),:R(video rating)
15923,Forget Me Not (2009/II),:R(certificate #46396)
15924,Forget Paris (1995),:PG-13(certificate #33769)
15925,Forget-Me-Knots (1938),:Approved
15926,Forgetting Sarah Marshall (2008),:R(certificate #44109)
15927,Forgive Me Father (2001),:R
15928,Forgive Me Father (2006),:PG-13
15929,"Forgive Me, I Have Sinned (1983)",:X(self applied)
15930,Forgiveness (2006/I),:Unrated
15931,Forgiveness (2015/II),:R
15932,Forgiving the Franklins (2006),:R
15933,Forgotten (1933),:Passed
15934,Forgotten (2005/II),:PG-13(self applied)
15935,Forgotten Girls (1940),:Approved
15936,Forgotten Girls (1940),:Passed(National Board of Review)
15937,Forgotten Treasure (1943),:Approved(PCA #9296)
15938,Forgotten Valor (2001),:G
15939,Forgotten Warrior (1986),:R
15940,Forking Ways (2016),:Approved
15941,Forks Over Knives (2011),:PG(certificate #46589)
15942,Forlorn River (1926),:Passed(National Board of Review)
15943,Forlorn River (1937),:Approved
15944,Forlorn River (1937),:Passed(National Board of Review)
15945,Formosa Betrayed (2009),:R(certificate #45815)
15946,Formosa: The Guarded Island (1955),:Approved
15947,Formosa: The Guarded Island (1955),:Passed(National Board of Review)
15948,Formula 1: Nell'Inferno del Grand Prix (1970),:G
15949,Formula 69 (1984),:X
15950,Forrest Gump (1994),:PG-13(Certificate #32823)
15951,Forsaken (2015/I),:R(certificate #49661)
15952,Forsaken (2017/III),:Unrated
15953,Forsaken Legion: The Bataan Death March (2010),:Open
15954,Forsaking All Others (1934),:Passed(National Board of Review)
15955,Forsaking All Others (1934),:Approved(PCA #487)
15956,Fort Algiers (1953),:Approved(MPAA rating: certificate #16370)
15957,Fort Apache (1948),:Approved(MPAA rating: certificate #12829)
15958,Fort Apache the Bronx (1981),:R(certificate #26240)
15959,Fort Bowie (1958),:Approved(certificate #18663)
15960,Fort Courageous (1965),:Approved
15961,Fort Courageous (1965),:Passed(National Board of Review)
15962,Fort Defiance (1951),:Approved(certificate #15155)
15963,Fort Dobbs (1958),:Approved(certificate #18710)
15964,Fort Dodge Stampede (1951),:Approved(PCA #15289)
15965,Fort Massacre (1958),:Approved(MPAA rating: certificate #18849)
15966,Fort McCoy (2011),:R
15967,Fort Savage Raiders (1951),:Approved(PCA #14859)
15968,Fort Ti (1953),:Passed(National Board of Review)
15969,Fort Ti (1953),:Approved(PCA #16394)
15970,Fort Tilden (2014),:R
15971,Fort Utah (1967),:R
15972,Fort Vengeance (1953),:Passed(National Board of Review)
15973,Fort Vengeance (1953),:Approved(PCA #16183)
15974,Fort Worth (1951),:Approved(certificate #15121)
15975,Fort Yuma (1955),:Approved(MPAA rating: certificate #17569)
15976,Fortress (1992),:R(certificate #32077)
15977,Fortress 2 (2000),:R(certificate #36458)
15978,Fortress of Amerikkka (1989),:R
15979,Fortune Cookie (2005),:Unrated
15980,Fortune Cookie (2016),:Unrated
15981,Fortune Cookie Prophecies (2011),:R
15982,Fortune Hunters (1946),:Approved
15983,Fortune Hunters (1946),:Passed(National Board of Review)
15984,Fortune Seekers (1956),:Approved(PCA #06905)
15985,Fortune and Men's Eyes (1971),:R
15986,Fortune's Smile (2011),:R
15987,Fortunes (2005),:R
15988,Fortunes of Captain Blood (1950),:Approved(certificate #14131)
15989,Fortunes of War (1994),:R
15990,Forty Boys and a Song (1941),:Passed(National Board of Review)
15991,Forty Boys and a Song (1941),:Approved(PCA #7294)
15992,Forty Guns (1957),:Approved(MPAA rating: certificate #18646)
15993,Forty Little Mothers (1940),:Approved
15994,Forty Little Mothers (1940),:Passed(National Board of Review)
15995,Forty Little Mothers (1940),:Approved(PCA #6130)
15996,Forty Naughty Girls (1937),:Approved(PCA #3562)
15997,Forty Shades of Blue (2005),:R
15998,Forty Thieves (1944),:Passed(National Board of Review)
15999,Forty Thieves (1944),:Approved(PCA #9980)
16000,Forum Snowboards: Vacation (2011),:PG-13
16001,Forushande (2016),:PG-13(certificate #50761)
16002,Forældre (2016),:G
16003,Foster (2011),:PG(certificate #46380)
16004,Fotograf (2015),:R
16005,Foul Play (1978),:PG(certificate #25152)
16006,Foul Play (2013),:Unrated
16007,Found (2012/III),:Unrated
16008,Found Alive (1933),:Passed(National Board of Review)
16009,Found Footage 3D (2016),:Unrated
16010,Four (2012/I),:R
16011,Four Blood Moons (2015),:PG(self applied)
16012,Four Boxes (2009),:R(certificate #45975)
16013,Four Brothers (2005),:R(certificate #41939)
16014,Four Christmases (2008),:PG-13(certificate #44549)
16015,Four Daughters (1938),:Approved(PCA #4400)
16016,Four Days (1999),:R
16017,Four Dead Batteries (2004),:R
16018,Four Dimensions of Greta (1972),:R
16019,Four Dogs Playing Poker (2000),:R
16020,Four Faces West (1948),:Approved
16021,Four Faces West (1948),:Passed(National Board of Review)
16022,Four Fast Guns (1960),:Approved(PCA #19483)
16023,Four Friends (1981),:R(certificate #26346)
16024,Four Frightened People (1934),:Approved(certificate #1580)
16025,Four Girls in White (1939),:Passed(National Board of Review)
16026,Four Girls in White (1939),:Approved(PCA #5026)
16027,Four Guns to the Border (1954),":Approved(MPAA rating: certificate #17102, General Audience)"
16028,Four Jacks and a Jill (1942),:Passed(National Board of Review)
16029,Four Jacks and a Jill (1942),:Approved(PCA #7588)
16030,Four Jills in a Jeep (1944),:Approved(certificate #9394)
16031,Four Letters (1980),:X
16032,Four Lions (2010),:R(certificate #46428)
16033,Four Men and a Prayer (1938),:Approved(PCA #4097)
16034,Four Minute Fever (1956),:Approved
16035,Four Minute Fever (1956),:Passed(National Board of Review)
16036,Four More Than Money (1971),:X
16037,Four Mothers (1941),:Approved(PCA #6558)
16038,Four Rode Out (1970),:R(certificate #AA-104)
16039,Four Rooms (1995),:R(No. 33973)
16040,Four Sheets to the Wind (2007),:R(certificate #43811)
16041,Four Sided Triangle (1953),:Approved(PCA #16055)
16042,Four Smart Dogs (1937),:Approved
16043,Four Smart Dogs (1937),:Passed(National Board of Review)
16044,Four Sons (1928),:Passed(National Board of Review)
16045,Four Sons (1940),:Approved(PCA #6233)
16046,Four Weddings and a Funeral (1994),:R(PCA #32705)
16047,"Four Wheels, No Brakes (1954)",:Passed
16048,"Four Wheels, No Brakes (1954)",:Approved(PCA #17187)
16049,Four Wives (1939),:Approved(PCA #5754)
16050,Four Women in Trouble (1970),:X(self-applied)
16051,Four's a Crowd (1938),:Approved(PCA #4151)
16052,Fourplay (2012),:Unrated
16053,Fourteen Hours (1951),:Approved(certificate #14687)
16054,Fourth Man Out (2015),:Unrated
16055,Fowl Brawl (1947),:Approved
16056,Fowl Brawl (1947),:Passed
16057,Fowl Play (1929),:Passed(National Board of Review)
16058,Fowl Play (1937),:Approved(PCA #01531)
16059,Fowl Weather (1953),:Approved(PCA #15461)
16060,Fowled Up Falcon (1960),:Approved(PCA #19584; appears on screen in error as 9584)
16061,Fowled-Up Party (1957),:Approved
16062,Fowled-Up Party (1957),:Passed(National Board of Review)
16063,Fox Holes (1983),:X(self applied)
16064,Fox Movietone Sports: Mel Allen's Football Review (1952),:Approved
16065,Fox Movietone Sports: Mel Allen's Football Review (1952),:Passed(National Board of Review)
16066,Fox Movietone Sports: Mel Allen's Football Review 3104 - Football Winning Ways (1951),:Approved
16067,Fox Movietone Sports: Mel Allen's Football Review 3104 - Football Winning Ways (1951),:Passed(National Board of Review)
16068,Fox Pop (1942),:Approved(PCA #8065)
16069,Fox Style (1973),:R
16070,Foxcatcher (2014),:R(certificate #49115)
16071,Foxed by a Fox (1955),:Approved
16072,Foxes (1980),:R(certificate #25691)
16073,Foxfire (1955),:Approved
16074,Foxfire (1996),:R
16075,Foxfire Light (1982),:PG(certificate #27190)
16076,Foxtrap (1986),:R(certificate #28045)
16077,Foxtrot (1976),:R
16078,Foxtrot (1982),:X(self applied)
16079,Foxtrot (2017/II),:R(certificate #51321)
16080,Foxy Brown (1974),:R(certificate #23883)
16081,Foxy Flatfoots (1946),:Approved
16082,Foxy Flatfoots (1946),:Passed(National Board of Review)
16083,Foxy Lady (1977),:X(self applied)
16084,Foxy Lady (1985),:X(self-applied)
16085,Foxy Lady 5 (1986),:X
16086,Foy Meets Girl (1950),:Approved
16087,FrIEND (2016),:Unrated(original rating)
16088,Fra gli amici (2006),:Unrated
16089,FrackNation (2013),:PG
16090,Fractalus (2005),:PG-13
16091,Fracture (2007),:R(certificate #43317)
16092,"Fractured Fairy Tales: The Phox, the Box, & the Lox (1999)",:G(No. 36949)
16093,Fragment of Fear (1970),:PG
16094,Fragment of Fear (1970),:GP(original rating)
16095,Fraidy Cat (1942),:Approved(PCA #7415)
16096,Frailty (2001),:R(certificate #38149)
16097,Frame Up (1991),:R
16098,Frame by Frame (1996),:R
16099,Frame of Mind (2009),:R
16100,Frame-Up II: The Cover-Up (1992),:R
16101,Framed (1930),:Passed(National Board of Review)
16102,Framed (1947),":Approved(PCA #11963, Adult Audience)"
16103,Framed (1975),:R(certificate #24183)
16104,Frameup (1993),:Unrated
16105,Framing Youth (1937),:Approved
16106,Framing Youth (1937),:Passed(National Board of Review)
16107,Frances (1982),:R(certificate #26830)
16108,Frances (2016),:R
16109,Frances Carroll & 'The Coquettes' (1940),:Passed(National Board of Review)
16110,Frances Carroll & 'The Coquettes' (1940),:Approved(PCA #2374)
16111,Frances Ha (2012),:R(certificate #47861)
16112,Francesco (1989),:PG-13
16113,Francine (2009),:PG-13
16114,Francis (2009/II),:R
16115,Francis Covers the Big Town (1953),:Passed(National Board of Review)
16116,Francis Covers the Big Town (1953),:Approved(PCA #15688)
16117,Francis Joins the WACS (1954),":Approved(PCA #17018, General Audience)"
16118,Frank & Jesse (1995),:R(certificate #33187)
16119,Frank & Lola (2016),:Unrated
16120,Frank (2007/I),:PG
16121,Frank (2009),:PG
16122,Frank (2014/II),:R
16123,Frank Calls (2014),:PG(self applied)
16124,Frank DanCoolo: Paranormal Drug Dealer (2010),:PG-13
16125,Frank Duck Brings 'em Back Alive (1946),:Approved(PCA Certificate #10977)
16126,Frank Film (1973),:G
16127,"Frank McKlusky, C.I. (2002)",:PG-13
16128,Frank and Cindy (2015),:R
16129,Frank and Ollie (1995),:PG(#33685)
16130,Frankenhood (2009),:R
16131,Frankenhooker (1990),:R(certificate #30615) (edited for re-rating)
16132,Frankenhooker (1990),:X(original rating)
16133,Frankenstein (1910),:Unrated
16134,Frankenstein (1931),:Approved(certificate #3809-R re-release)
16135,Frankenstein (2011),:Unrated
16136,Frankenstein (2015/II),:R(certificate #47714)
16137,Frankenstein 1970 (1958),:Unrated
16138,Frankenstein 1970 (1958),:Approved(certificate #18966)
16139,Frankenstein Created Woman (1967),:Unrated
16140,Frankenstein General Hospital (1988),:R
16141,Frankenstein Island (1981),:PG(certificate #26502)
16142,Frankenstein Meets the Spacemonster (1965),:Unrated
16143,Frankenstein Meets the Wolf Man (1943),:Approved(PCA #9024)
16144,Frankenstein Must Be Destroyed (1969),:PG-13(re-rating) (2004)
16145,Frankenstein Reborn (2005),:R
16146,Frankenstein Reborn! (1998),:PG
16147,Frankenstein all'italiana (1975),:X
16148,Frankenstein and Me (1996),:PG
16149,Frankenstein and the Monster from Hell (1974),:R
16150,Frankenstein's Army (2013),:R
16151,Frankenstein's Daughter (1958),:Approved(certificate #14897)
16152,Frankenstein's Patchwork Monster (2015),:Unrated
16153,Frankenweenie (1984),:PG(No. 27498)
16154,Frankenweenie (2012),:PG(certificate #47759)
16155,Frankie & Alice (2010),:R(certificate #46535)
16156,Frankie Carle and His Orchestra (1949),:Approved
16157,Frankie Masters and His Orchestra (1940),:Approved
16158,Frankie Masters and His Orchestra (1940),:Passed(National Board of Review)
16159,Frankie Starlight (1995),:R
16160,Frankie and Johnny (1966),:Approved(certificate #21052)
16161,Frankie and Johnny (1991),:R(certificate #30971)
16162,Frankie and Johnny Are Married (2003),:R
16163,Franklin et le trésor du lac (2006),:G
16164,Franklyn (2008),:R(certificate #45556)
16165,Frantic (1988),:R(Approved #28890)
16166,Frantz (2016),:PG-13(certificate #50811)
16167,François Premier (1937),:Approved
16168,"Frasier, the Sensuous Lion (1973)",:PG
16169,Frat House (1983),:X
16170,Frat House Memories (1984),:X
16171,Frat Party (2009),:R(certificate #45589)
16172,"Fratello sole, sorella luna (1972)",:PG
16173,Fraternity Demon (1992),:R
16174,Fraternity House (2008),:Unrated
16175,Fraternity Row (1977),:PG
16176,Fraternity Vacation (1985),:R
16177,Frau Wirtin hat auch einen Grafen (1968),:R
16178,Fraud Feathers and Fairies (2003),:Unrated
16179,Frauds (1993),:R
16180,Fraudulent (2015),:Unrated
16181,Frayed (2007/I),:R(certificate #44386)
16182,Freak (1999),:R
16183,Freak Talks About Sex (1999),:R
16184,Freakdog (2008),:R
16185,Freaked (1993),:PG-13(certificate #32375)
16186,Freakonomics (2010),:PG-13(certificate #46215)
16187,Freaks (1932),:Passed(National Board of Review)
16188,Freaks of Nature (2015),:R(certificate #48736)
16189,Freakshow (1995),:R
16190,Freaky Deaky (2012),:R
16191,Freaky Friday (1976),:G(MPAA rating: certificate #24738)
16192,Freaky Friday (2003),:PG(certificate #39942)
16193,Freckles Comes Home (1942),:Passed(National Board of Review)
16194,Freckles Comes Home (1942),:Approved(PCA #7921)
16195,Fred Claus (2007),:PG(certificate #43797)
16196,Freddie Fisher and His Band (1943),:Approved
16197,Freddie Fisher and His Band (1943),:Passed(National Board of Review)
16198,Freddie Rich and His Orchestra (1938),:Approved(PCA #01872)
16199,Freddie Steps Out (1946),:Passed(National Board of Review)
16200,Freddie Steps Out (1946),:Approved(PCA #11954)
16201,Freddie as F.R.O.7. (1992),:PG
16202,Freddie as F.R.O.7. (1992),:G(edited version)
16203,Freddy Got Fingered (2001),:R(edited for re-rating)
16204,Freddy Got Fingered (2001),:PG(heavily edited)
16205,Freddy vs. Jason (2003),:R(certificate #40045)
16206,Freddy's Dead: The Final Nightmare (1991),:R(certificate #31277)
16207,Free (1973),:R
16208,Free (2016/I),:PG(self applied)
16209,Free Birds (2013),:PG(certificate #48534)
16210,Free Country the Movie (1996),:Unrated
16211,Free Enterprise (1998),:R
16212,Free Fall (2005),:PG
16213,Free Fall (2014),:R
16214,Free Fire (2016),:R(certificate #50547)
16215,Free Money (1998),:R
16216,Free Ride (1986),:R
16217,Free Samples (2012),:R
16218,Free State of Jones (2016),:R(certificate #50259)
16219,Free Style (2008),:PG
16220,Free Throw (2012),:PG
16221,Free Wheeling (1932),:Approved
16222,Free Willy (1993),:PG(certificate #32315)
16223,Free Willy 2: The Adventure Home (1995),:PG(Approved #33800)
16224,Free Willy 3: The Rescue (1997),:PG(certificate #35154)
16225,Free and Easy (1930),:Approved
16226,Free and Easy (1930),:Passed(National Board of Review)
16227,Free and Easy (1941),:Passed(National Board of Review)
16228,Free and Easy (1941),:Approved(PCA #7099)
16229,Free as the Wind (1974),:G
16230,Free for All (1949),:Approved
16231,Free for All (1949),:Passed(National Board of Review)
16232,Free for All! (2008),:Unrated
16233,Free the Nipple (2014),:Unrated
16234,Freebie and the Bean (1974),:R
16235,Freebird... The Movie (1996),:PG
16236,Freedom (1970/II),:Unrated
16237,Freedom (2014/II),:R
16238,Freedom Downtime (2001),:Unrated
16239,Freedom Flight (2005),:PG-13
16240,Freedom Strike (1998),:R(certificate #35310)
16241,Freedom Summer (2014),:PG
16242,Freedom Writers (2007),:PG-13
16243,Freedom of Choice (1985),:X
16244,Freedomland (2006),:R(certificate #41466)
16245,Freedumb (2014),:Unrated
16246,Freefall (1994),:R
16247,Freeheld (2015),:PG-13(certificate #49786)
16248,Freejack (1992),:R(certificate #31567)
16249,Freelance (2012),:Unrated
16250,Freelancers (2012),:R
16251,Freeloaders (2012),:R
16252,Freeloading Feline (1960),:Approved(certificate #19405)
16253,Freerunner (2011),:R
16254,Freestyle (2010),:PG-13(certificate #46611)
16255,Freetown (2015),:PG-13(certificate #49570)
16256,Freeway (1988),:R
16257,Freeway (1996),:R(certificate #34357) (edited for re-rating after appeal)
16258,Freeway II: Confessions of a Trickbaby (1999),:R(certificate #36690)
16259,Freeway Killer (2010),:R(certificate #45705)
16260,Freeway: Crack in the System (2015),:R
16261,Freewheelin' (1976),:G
16262,Freez'er (2001),:R
16263,Freeze Frame (2004),:R
16264,Freeze a Jolly Good Fellow (1973),:G
16265,Freezer (2014),:R
16266,Freezer Burn: The Invasion of Laxdale (2008),:R
16267,Freezerburn (2005),:R
16268,Freighters of Destiny (1931),:Passed(National Board of Review)
16269,French Blue (1974),:X
16270,French Classmates (1977),:X
16271,French Connection II (1975),:R(MPAA rating: certificate #24179)
16272,French Dressing (1927),:Passed(National Board of Review)
16273,French Exit (1995),:R
16274,French Fantasies (1975),:X
16275,French Freud (1969),:G(certificate no. 21989)
16276,French Fried Patootie (1941),:Approved
16277,French Heat (1975),:X
16278,French Heels (1922),:Passed(National Board of Review)
16279,French Kiss (1995),:PG-13(certificate #33776)
16280,French Leave (1930/I),:Passed(National Board of Review)
16281,French Leave (1948),:Approved
16282,French Lessons (1985),:X(self applied)
16283,French Letters (1984),:X
16284,French Lieutenant's Boys (1984),:X
16285,French Postcard (1983),:X
16286,French Postcards (1979),:PG(certificate #25514)
16287,French Quarter (1978),:R(certificate #25043)
16288,French Quarter Undercover (1986),:R
16289,French Satisfaction (1983),:X(self-applied)
16290,French Shampoo (Homage to W. B.) (1975),:X(self applied)
16291,French Throat (1975),:X
16292,French Wives (1979),:X(self applied)
16293,Frenchie (1950),:Approved(PCA #14653)
16294,Frenchman's Farm (1987),:R(certificate #28944)
16295,Frenzy (1972),:R(MPAA rating: certificate no. 23143)
16296,Frequency (2000),:PG-13(certificate #36846)
16297,Frequently Asked Questions About Time Travel (2009),:PG-13
16298,Fresa y chocolate (1993),:R
16299,Fresh (1994),:R(certificate #32866)
16300,Fresh Faces (1926),:Passed(National Board of Review)
16301,Fresh Guacamole (2012),:Unrated
16302,Fresh Hare (1942),:Approved(PCA #7906)
16303,Fresh Horses (1988),:PG-13
16304,Fresh Kill (1994),:Unrated
16305,Fresh Paint (1926),:Passed(National Board of Review)
16306,Fresh Painter (1953),:Approved
16307,Fresh Painter (1953),:Passed(National Board of Review)
16308,Fresh as a Freshman (1941),:Approved
16309,Freshman Love (1936),:Approved(PCA #1710)
16310,Freshman Year (1938),:Passed(National Board of Review)
16311,Freshman Year (1938),:Approved(PCA #4454)
16312,Frida (2002),:R(certificate #39203)
16313,Friday (1995),:R(certificate #33452)
16314,Friday (1995),:R(certificate #45391) (director's cut)
16315,Friday After Next (2002),:R(certificate #39058)
16316,Friday Foster (1975),:R(certificate #24442)
16317,Friday Night Lights (2004),:PG-13
16318,Friday the 13th (1980),:R(certificate #25901)
16319,Friday the 13th (1980),:X(original rating)
16320,Friday the 13th (1980),:Unrated(uncut version)
16321,Friday the 13th (2009),:R(certificate #44908)
16322,Friday the 13th (2009),:R(certificate #45352) (killer cut)
16323,Friday the 13th Part 2 (1981),:R(certificate #26254)
16324,Friday the 13th Part 2 (1981),:X(original rating)
16325,Friday the 13th Part III (1982),:R(certificate #26764)
16326,Friday the 13th Part III (1982),:X(original rating)
16327,Friday the 13th Part VII: The New Blood (1988),:R(certificate #29206)
16328,Friday the 13th Part VII: The New Blood (1988),:X(original rating)
16329,Friday the 13th Part VIII: Jason Takes Manhattan (1989),:R(certificate #29903)
16330,Friday the 13th Part VIII: Jason Takes Manhattan (1989),:X(original rating)
16331,Friday the 13th: A New Beginning (1985),:R(certificate #27734)
16332,Friday the 13th: A New Beginning (1985),:X(original rating)
16333,Friday the 13th: A Nude Beginning (1987),:X(self applied)
16334,Friday the 13th: The Final Chapter (1984),:R(certificate #27378)
16335,Friday the 13th: The Final Chapter (1984),:X(original rating)
16336,Fried Green Tomatoes (1991),:PG-13(certificate #31540)
16337,Frieda (1947),":Approved(PCA #12155, General Audience)"
